"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",0.282188120195407,-0.412643945355671,0.897,0.907,1
"RNASEK",0.286190931939894,-0.271091329782982,0.603,0.62,1
"RPL24",0.287741633472963,-0.260597561478391,0.697,0.72,1
"TFRC",0.291026383188645,-0.283830742097857,0.305,0.333,1
"SNAP23",0.303425729463103,-0.256249129155864,0.324,0.36,1
"RPS12",0.314670429371585,-0.422626158797653,0.896,0.9,1
"RPL29",0.35343424083394,-0.277814519654317,0.611,0.633,1
"SECTM1",0.40478743692839,-0.250468589752942,0.241,0.273,1
"RPS15A",0.431765960255584,-0.347826403529604,0.795,0.807,1
"RPS25",0.435642085509231,-0.297655340581415,0.855,0.847,1
"RPL31",0.709243312212757,-0.288744973805775,0.796,0.78,1
"RPL38",0.796933415032617,-0.300480816242102,0.819,0.793,1
"RPL27",0.841204573773763,-0.258088915558222,0.648,0.66,1
"COX7C",0.846169076480413,-0.284507972887034,0.59,0.547,1
