"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL7R",1.17993675927613e-17,0.99162616792302,0.658,0.22,4.31868653262656e-13
"SLC9A7",2.4101364155393e-17,-0.680836040960468,0.098,0.373,8.8213402945154e-13
"CD6",3.67991534271946e-17,0.824890539174535,0.529,0.14,1.34688581458875e-12
"STAT4",4.52541884100523e-17,0.957158750965471,0.573,0.18,1.65634854999632e-12
"FCRL3",7.74470573711939e-17,-0.590627921568808,0.047,0.26,2.83463974684307e-12
"STX7",8.83742644020331e-17,-0.883458204940593,0.559,0.807,3.23458645137881e-12
"SLFN12L",2.29451270704223e-16,0.761813897339193,0.629,0.213,8.39814595904528e-12
"IFNG-AS1",2.43482478272014e-16,-0.907561214505673,0.169,0.487,8.911702187234e-12
"SERINC5",3.63076167029501e-16,0.869641540747678,0.788,0.487,1.32889507894468e-11
"TXK",8.88812495835962e-16,0.957284271380263,0.666,0.28,3.2531426160092e-11
"SNX29",1.57502036716402e-15,-0.698068843604034,0.8,0.907,5.76473204585704e-11
"LCK",4.73418108458005e-15,0.784416199897917,0.487,0.12,1.73275761876714e-10
"PDE3B",6.28675611531591e-15,1.02506820457558,0.743,0.447,2.30101560576678e-10
"PLPP5",1.63754672722576e-14,-0.55921134498813,0.067,0.28,5.99358477631902e-10
"CD96",1.64018174357579e-14,0.889028766194294,0.658,0.313,6.00322919966174e-10
"AC027097.2",2.86065927253881e-14,-0.71288904397884,0.389,0.68,1.04702990034193e-09
"CD7",3.35031028755295e-14,0.773147135831172,0.438,0.1,1.22624706834726e-09
"TAFA1",3.95646527013113e-14,0.969074091998001,0.409,0.073,1.4481058535207e-09
"OXNAD1",8.36225373974425e-14,0.806340538803109,0.65,0.327,3.06066849128379e-09
"MEF2C-AS1",1.20355923435335e-13,-0.589489238286553,0.116,0.36,4.40514715365669e-09
"ZCCHC7",1.94894824670175e-13,-0.739317600900055,0.782,0.873,7.13334547775308e-09
"USP6NL",2.27345366088611e-13,-0.748112169294672,0.34,0.613,8.32106774420924e-09
"HLA-DRB5",2.49905008739463e-13,-0.701880276099329,0.511,0.767,9.14677322487308e-09
"RASGRF2",5.35946665256279e-13,0.876341453373963,0.432,0.113,1.96161838950451e-08
"MARCH1",5.90084943170819e-13,-0.587331989446337,0.888,0.947,2.15976990049951e-08
"PDE4D",6.48503947984259e-13,-0.890936369426652,0.493,0.733,2.37358930001719e-08
"PIP5K1B",1.20934172580288e-12,-0.698718475277181,0.241,0.527,4.42631165061114e-08
"LINC00861",1.29828816027965e-12,0.612933568432631,0.534,0.187,4.75186449543956e-08
"CDC14A",1.34884533060511e-12,0.875482272933262,0.739,0.5,4.93690879454776e-08
"GRAP2",1.61130466162503e-12,0.637788286432295,0.598,0.233,5.89753619201377e-08
"IQGAP2",1.8320376196171e-12,0.700964269612534,0.894,0.727,6.70544089156056e-08
"C11orf80",2.38575144737589e-12,-0.442773200676203,0.075,0.28,8.73208887254048e-08
"FCMR",3.45379267345532e-12,-0.733006499311832,0.339,0.62,1.26412265641138e-07
"CAMK1D",3.714836080104e-12,-0.592082270869188,0.775,0.9,1.35966715367887e-07
"PRKCQ-AS1",3.83026560044972e-12,0.626980275981214,0.41,0.1,1.4019155124206e-07
"PPP3CA",4.60823335400698e-12,-0.601225194162644,0.809,0.92,1.68665948990009e-07
"ADK",4.75808192018825e-12,-0.781712388459217,0.78,0.88,1.7415055636081e-07
"SEMA4B",5.21661360372523e-12,-0.597519304247194,0.16,0.407,1.90933274509947e-07
"STK38",6.06579002301802e-12,0.577905426522243,0.862,0.64,2.22013980632482e-07
"SP140",6.21100463646918e-12,-0.71899796220403,0.358,0.607,2.27328980699408e-07
"IKZF3",6.34341404468331e-12,-0.714532197489172,0.414,0.68,2.32175297449454e-07
"AC016074.2",6.93243989940852e-12,0.643898242377894,0.298,0.033,2.53734232758251e-07
"UVRAG",8.46694398832246e-12,-0.563114313509315,0.881,0.907,3.0989861691659e-07
"NELL2",9.03473981981824e-12,0.991752418474889,0.391,0.093,3.30680512145167e-07
"LINC01934",1.00400133730839e-11,0.941699496782875,0.463,0.16,3.67474529468242e-07
"EAF2",1.3507324462623e-11,-0.520647389644365,0.14,0.38,4.94381582656464e-07
"ARHGEF3",1.77951521693913e-11,0.674981169801827,0.834,0.62,6.5132036455189e-07
"CD2",1.79099697370166e-11,0.537655173777714,0.446,0.12,6.55522802344544e-07
"LY86",1.80606089556358e-11,-0.57559840506111,0.414,0.7,6.61036348385224e-07
"FAM3C",1.97733283151198e-11,-0.495107198694427,0.13,0.36,7.23723589661698e-07
"RNF157",2.13241651061971e-11,0.653616048802544,0.334,0.053,7.8048576705192e-07
"CD3G",2.66078683102636e-11,0.470787714953127,0.409,0.1,9.73874588023959e-07
"ZDHHC14",2.88016571582244e-11,-0.521061573274606,0.161,0.413,1.05416945364817e-06
"ITGA6",6.21838173168126e-11,0.646195549076848,0.43,0.14,2.27598989761266e-06
"SYNE2",1.01567002986283e-10,0.715214360536229,0.705,0.453,3.71745387630095e-06
"CD83",1.3299377339829e-10,-0.686702680602168,0.666,0.847,4.86770510015083e-06
"APBA2",1.75546435782746e-10,0.764307183420775,0.433,0.16,6.42517509608428e-06
"DOCK9",1.78380304383958e-10,0.651863195680116,0.485,0.2,6.52889752075726e-06
"MGAT4A",2.1915655454299e-10,0.571527051999934,0.498,0.213,8.02134905282797e-06
"TESPA1",2.50631527787201e-10,0.626783310621556,0.428,0.147,9.17336454853936e-06
"EIF2AK3",2.83647468461311e-10,-0.733999245189989,0.267,0.5,1.03817809931524e-05
